geo_id,geo_name,geo_level,year,wealth_concept,wealth_gini,wealth_gini_raw,negative_wealth_share,mean_net_wealth,median_net_wealth,top10_wealth_share,top1_wealth_share,bottom50_wealth_share,unit_of_analysis,equivalence_scale,currency,source_dataset,source_priority,comparability_tier,observed_vs_modeled,top_tail_flag,method_version,notes
ARE,United Arab Emirates,country,1800,net_wealth,,,,9369.4,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1801,net_wealth,,,,9447.5,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1802,net_wealth,,,,9528.5,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1803,net_wealth,,,,9596.7,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1804,net_wealth,,,,9672.8,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1805,net_wealth,,,,9743.9,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1806,net_wealth,,,,9822.0,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1807,net_wealth,,,,9891.1,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1808,net_wealth,,,,9968.4,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1809,net_wealth,,,,10042.1,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
ARE,United Arab Emirates,country,1810,net_wealth,,,,10111.5,,,,,per_adult_equal_split,none,EUR_PPP,WID,tier1,B,imported,mixed,wga-0.3,WID vars: mean=ahweali992
